inexpensive,やすい,安い
peace of mind/relief,あんしん,安心
safe,あんぜん,安全
cheap item,やすもの,安物
sale,やすうり,安売り
Heian period,へいあんじだい,平安時代
one - general counter,ひとつ,一つ
one person,ひとり,一人
first day of the month,ついたち,一日
one day,いちにち,一日
one time,いっかい,一回
once,いちど,一度
first,だいいち,第一
number one,いちばん,一番
to drink,のむ,飲む
restaurant,いんしょくてん,飲食店
beverage,のみもの,飲み物
right,みぎ,右
right had,みぎて,右手
right food,みぎあし,右足
right side,みぎがわ,右側
right & left,さゆう,左右
rain,あめ,雨
rainy weather,うてん,雨天
heavy rain,おおあめ,大雨
drizzle,こさめ,小雨
tsuyu rainy reason,つゆ,梅雨
rainy reason,うき,雨期
station,えき,駅
in front of a train station,えきまえ,駅前
tokyo station,とうきょうえき,東京駅
station master,えきちょう,駅長
station attendant,えきいん,駅員
Japanese yen,えん,円
depreciation of the yen against the,えんやす,円安
high-valued yen,えんだか,円高
¥100,ひゃくえん,百円
¥1,せんえん,千円
¥10,いちまんえん,一万円
under/below,した,下
poor at,へた,下手
underground,ちか,地下
not exceeding,いか,以下
top and bottom,じょうげ,上下
what?,なに,何
how many people,なんにん,何人
what time - hour,なんじ,何時
how many minutes?,なんぷん,何分
what month?,なんがつ,何月
what day?,なんにち,何日
what day of the week?,なんようび,何曜日
how many hours?,なんじかん,何時間
how many times?,なんかい,何回
many times,なんども,何度も
fire,ひ,火
tuesday,かようび,火曜日
fire,かじ,火事
firework,はなび,花火
house,いえ,家
family,かぞく,家族
chore,かじ,家事
author,さっか,作家
specialist,せんもんか,専門家
flower,はな,花
flower shop,はなや,花屋
to meet,あう,会う
company,かいしゃ,会社
community,しゃかい,社会
conversation,かいわ,会話
interview with audience,かいけん,会見
meeting,かいぎ,会議
outside,そと,外
foreign country,がいこく,外国
foreigner,がいこくじん,外国人
overseas,かいがい,海外
going out,がいしゅつ,外出
foreign language,がいこくご,外国語
katakana words,がいらいご,外来語
to dine out,がいしょくする,外食する
appearance,がいけん,外見
Master/ to study (in depth),まなぶ,学ぶ
school,がっこう,学校
student,がくせい,学生
year in school,がくねん,学年
scholarship,がくもん,学問
school terms,がっき,学期
scholar,がくしゃ,学者
between,あいだ,間
time,じかん,時間
one week,いっしゅうかん,一週間
human being,にんげん,人間
spirit/mood,き,気
weather,てんき,天気
healthy,げんき,元気
feeling,きぶん,気分
sickness,びょうき,病気
temperature,きおん,気温
air,くうき,空気
electricity,でんき,電気
popular,にんき,人気
feelings,きもち,気持ち
to rest,やすむ,休む
day-off,きゅうじつ,休日
closing day - business,ていきゅうび,定休日
summer break,なつやすみ,夏休み
winter break,ふゆやすみ,冬休み
spring break,はるやすみ,春休み
break time,やすみじかん,休み時間
fish,さかな,魚
gold fish,きんぎょ,金魚
fish store,さかなや,魚屋
mermaid,にんぎょ,人魚
gold,きん,金
money,おかね,お金
friday,きんようび,金曜日
large amount of money,たいきん,大金
9,きゅう,九
nine - general counter,ここのつ,九つ
9 o'clock,くじ,九時
september,くがつ,九月
9th day of a month,ここのか,九日
9 people,きゅうにん,九人
kyushu region,きゅうしゅう,九州
sky,そら,空
airport,くうこう,空港
available seats,くうせき,空席
moon,つき,月
monday,げつようび,月曜日
this month,こんげつ,今月
every month,まいつき,毎月
last month,せんげつ,先月
next month,らいげつ,来月
moon viewing,おつきみ,お月見
to see,みる,見る
sightseeing,けんぶつする,見物する
study by observation,けんがくする,見学する
opinion,いけん,意見
sakura flower viewing,おはなみ,お花見
to say,いう,言う
language,げんご,言語
dialect,ほうげん,方言
old,ふるい,古い
used,ちゅうこ,中古
used bookstore,ふるほんや,古本屋
used car,ちゅうこしゃ,中古車
5,ご,五
five - general counter,いつつ,五つ
5th day of a month,いつか,五日
noon,ご,午
AM,ごぜん,午前
PM,ごご,午後
noon,しょうご,正午
behind／back,うしろ,後ろ
later,あとで,後で
before and after,ぜんご,前後
from now on,こんご,今後
mouth,くち,口
Entrance,いりぐち,入り口
Exit,でぐち,出口
eye,め,目
sun,に,日
Sunday,にちようび,日曜日
Today,きょう,今日
Everyday,まいにち,毎日
Month/Moon,げつ/つき,月
January,いちがつ,一月
Next Month,らいげつ,来月
This month,こんげつ,今月
tuesday,火曜日,火曜日
Ｆｉｒｅ,かじ,火事
Wednesday,すいようび,水曜日
Ｗａｔｅｒ,みず,水
Ｔｈｕｒｓｄａｙ,もくようび,木曜日
Ｆｒｉｄａｙ,きんようび,金曜日
Ｏｋａｎｅ,おかね,お金
Ｇｅｎｋｉｎ,げんきん,現金
Ｓａｔｕｒｄａｙ,どようび,土曜日
Ｔｓｕｃｈｉ,つち,土
Week,よう,曜
Yamamoto San,やまもとさん,山本さん
Ｖｏｌｃａｎｏ,かざん,火山
Adult,おとな,大人
Ｗｏｍａｎ,おんなのひと,女の人
Alone,ひとりで,一人で
Ｎｏｗ,いま,今
Today,きょう,今日
Tonight,こんばん,今晩
This week,こんしゅ,今週
This year,ことし,今年
This morning,けさ,今朝
Next time,こんど,今度
Time,じかん,時間
Sometimes,ときどき,時々
Tokei,とけい,時計
Half,はんぶうん,半分
Fun,ふん,分
To understand,わかる,分かる
To divide,分ける,分ける
Ａｂｏｖｅ,うえ,上
To raise,あげる,上げる
Good at,じょうず,上手
to go up,のぼる,上る
Below,した,下
To lower,さげる,下げる
Please,ください,下さい
Bad at,へた,下手
Up and Down,じょうげ,上下
Middle、Inside,なか,中
China,ちゅうごく,中国
Outside,そと,外
Foreign Country,がいこく,外国
Foreigner,がいこくじん,外国人
Another,ほかの,外の
Right,みぎ,右
Left,ひだり,左
Before/Front,まえ,前
AM,ごぜん,午前
Name,おまえ,お前
Back/Behind,うしろ,後ろ
Later,あとで,後で
Last,さいご,最後
Later,のちほど,後ほど
Noon,しょうご,正午
in the morning,ごぜんちゅう,午前中
Gate,もん,門
Between,間,あいだ
Mistake,まちがい,間違い
East,ひがし,東
East exit,ひがしぐち,東口
West,にし,西
South,みなみ,南
North,きた,北
important,たいせつな,大切な
low,ひくい,低い
short,みじかい,短い
bad,わるい,悪い
black,くろい,黒い
baby,あかちゃん,赤ちゃん
movie,えいが,映画
travel,りょこう,旅行
to sing,うたう,歌う
world,せかい,世界
day/sun,ひ,日
Japan,にほん,日本
Japanese,にほんご,日本語
Sunday,にちようび,日曜日
one,いち,一
one thing [general counter for objects],ひとつ,一つ
one person,ひとり,一人
one by one,ひとつひとつ,一つ一つ
country,くに,国
China,ちゅうごく,中国
kingdom,おうこく,王国
year,とし,年
next year,らいねん,来年
this year,ことし,今年
big,おおきい,大きい
university,だいがく,大学
university student,だいがくせい,大学生
ten,じゅう,十
ten days,とおか,十日
two,に,二
two people,ふたり,二人
two things,ふたつ,二つ
book,ほん,本
really,ほんとうに,本当に
inside,なか,中
middle school student,ちゅうがくせい,中学生
long,ながい,長い
to appear,でる,出る
to take,だす,出す
to go out; to leave home,でかける,出かける
exit,でぐち,出口
three,さん,三
three things,みっつ,三つ
time,とき,時
time,じかん,時間
watch,とけい,時計
to go [destination に/へ],いく,行く
travel,りょこう,旅行
to travel,りょこうする,旅行する
to see; to look at; to watch,みる,見る
to show; to display,みせる,見せる
moon,つき,月
Monday,げつようび,月曜日
back,うしろ,後ろ
afterwards; the rest; since,あと,後
before; in front,まえ,前
you [impolite],おまえ,お前
teacher; professor; doctor,せんせい,先生
to be born,うまれる,生まれる
student,せいと,生徒
student,がくせい,学生
five things,いつつ,五つ
five,ご,五
between,あいだ,間
above; on top of,うえ,上
skillful; good at...,じょうず,上手
to ascend; to go up; to climb,のぼる,上る
to come [destination に/へ],くる,来る
next week,らいしゅう,来週
next month,らいげつ,来月
four,よん,四
four things,よっつ,四つ
now,いま,今
today,きょう,今日
this morning,けさ,今朝
this month,こんげつ,今月
this year,ことし,今年
this week,こんしゅう,今週
tonight; this evening,こんばん,今晩
money,おかね,お金
Friday,きんようび,金曜日
nine,きゅう / く,九
nine things,ここのつ,九つ
something goes inside; to enter,はいる,入る
to put something in,いれる,入れる
entrance,いりぐち,入口
school,がっこう,学校
tall,たかい,高い
yen,えん,円
child,こ,子
child; children,こども,子供
